Couldn't read values in CFPrefsPlistSource<0x1079aea00> (Domain: group.io.sergeyshmagin.kdbchat, User: kCFPreferencesAnyUser, ByHost: Yes, Container: (null), Contents Need Refresh: Yes): Using kCFPreferencesAnyUser with a container is only allowed for System Containers, detaching from cfprefsd
2025-08-03T17:58:03.598306Z  INFO matrix_sdk_ffi::platform: Logging has been set up env_filter="panic=error,hyper=warn,matrix_sdk_ffi=info,matrix_sdk=info,matrix_sdk::client=trace,matrix_sdk_crypto=debug,matrix_sdk_crypto::olm::account=trace,matrix_sdk::oidc=trace,matrix_sdk::http_client=debug,matrix_sdk::sliding_sync=info,matrix_sdk_base::sliding_sync=info,matrix_sdk_ui::timeline=info,matrix_sdk::send_queue=info,matrix_sdk::event_cache=info,matrix_sdk_base::event_cache=info,matrix_sdk_sqlite::event_cache_store=info,matrix_sdk_common::store_locks=warn,matrix_sdk_base::store::ambiguity_map=warn,matrix_sdk_ui::notification_client=info,elementx=info" | bindings/matrix-sdk-ffi/src/platform.rs:483
2025-08-03T17:58:04.558294Z  INFO elementx: Supports OIDC login: false | AuthenticationService.swift:60 | spans: root
2025-08-03T17:58:04.558307Z  INFO elementx: Supports password login: true | AuthenticationService.swift:61 | spans: root
2025-08-03T17:58:04.558318Z  INFO elementx: Setting login mode to password | AuthenticationService.swift:67 | spans: root
2025-08-03T17:58:04.558336Z  INFO elementx: Storing client and sending homeserver update | AuthenticationService.swift:83 | spans: root
2025-08-03T17:58:04.558384Z  INFO elementx: Server configuration completed successfully for: matrix.aibots.kz | AuthenticationService.swift:87 | spans: root
2025-08-03T17:58:04.585663Z  INFO elementx: Successfully auto-configured homeserver. Login mode: password | LoginScreenViewModel.swift:220 | spans: root
App is being debugged, do not track this hang
Hang detected: 0.81s (debugger attached, not reporting)
2025-08-03T18:02:41.092896Z  INFO elementx: Reachability changed to reachable | AppCoordinator.swift:1203 | spans: root
2025-08-03T18:03:14.858476Z  INFO elementx: Starting login with password using ServerConfirmation flow logic | LoginScreenViewModel.swift:243 | spans: root
2025-08-03T18:03:14.864877Z  INFO elementx: Authentication service reset before login attempt | LoginScreenViewModel.swift:248 | spans: root
2025-08-03T18:03:14.908629Z  INFO elementx: Configuring server for login: matrix.aibots.kz | LoginScreenViewModel.swift:308 | spans: root
2025-08-03T18:03:14.908726Z  INFO elementx: Starting server configuration for: matrix.aibots.kz | AuthenticationService.swift:46 | spans: root
2025-08-03T18:03:14.908780Z  INFO elementx: Creating client builder for: matrix.aibots.kz | AuthenticationService.swift:50 | spans: root
2025-08-03T18:03:14.910438Z  INFO elementx: Building client for: matrix.aibots.kz | AuthenticationService.swift:53 | spans: root
2025-08-03T18:03:14.923100Z DEBUG matrix_sdk::client::builder: Starting to build the Client | crates/matrix-sdk/src/client/builder/mod.rs:506 | spans: root > build
2025-08-03T18:03:15.170184Z DEBUG matrix_sdk::client::builder::homeserver_config: Trying to discover the homeserver | crates/matrix-sdk/src/client/builder/homeserver_config.rs:175 | spans: root > build{homeserver=ServerNameOrHomeserverUrl("matrix.aibots.kz")}
2025-08-03T18:03:15.170222Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: root > build{homeserver=ServerNameOrHomeserverUrl("matrix.aibots.kz")} > send{request_id="REQ-0" method=GET uri="https://matrix.aibots.kz/.well-known/matrix/client"}
2025-08-03T18:03:15.226168Z DEBUG matrix_sdk::http_client: Got response | crates/matrix-sdk/src/http_client/mod.rs:214 | spans: root > build{homeserver=ServerNameOrHomeserverUrl("matrix.aibots.kz")} > send{request_id="REQ-0" method=GET uri="https://matrix.aibots.kz/.well-known/matrix/client" status=200 response_size="2.0k"}
2025-08-03T18:03:15.226183Z DEBUG matrix_sdk::client::builder::homeserver_config: Discovered the homeserver homeserver_url="https://matrix.aibots.kz" | crates/matrix-sdk/src/client/builder/homeserver_config.rs:197 | spans: root > build{homeserver=ServerNameOrHomeserverUrl("matrix.aibots.kz")}
2025-08-03T18:03:15.226206Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: root > build{homeserver=ServerNameOrHomeserverUrl("matrix.aibots.kz")} > send{request_id="REQ-1" method=GET uri="https://matrix.aibots.kz/_matrix/client/versions"}
2025-08-03T18:03:15.241741Z DEBUG matrix_sdk::http_client: Got response | crates/matrix-sdk/src/http_client/mod.rs:214 | spans: root > build{homeserver=ServerNameOrHomeserverUrl("matrix.aibots.kz")} > send{request_id="REQ-1" method=GET uri="https://matrix.aibots.kz/_matrix/client/versions" status=200 response_size="1.1k"}
2025-08-03T18:03:15.241758Z  INFO matrix_sdk::client::builder: selected sliding sync version version=Native | crates/matrix-sdk/src/client/builder/mod.rs:557 | spans: root > build{homeserver=ServerNameOrHomeserverUrl("matrix.aibots.kz")}
2025-08-03T18:03:15.241794Z DEBUG matrix_sdk::client::builder: Done building the Client | crates/matrix-sdk/src/client/builder/mod.rs:610 | spans: root > build{homeserver=ServerNameOrHomeserverUrl("matrix.aibots.kz")}
2025-08-03T18:03:15.241871Z  INFO elementx: Getting homeserver login details for: matrix.aibots.kz | AuthenticationService.swift:56 | spans: root
2025-08-03T18:03:15.241973Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: root > send{request_id="REQ-2" method=GET uri="https://matrix.aibots.kz/_matrix/client/versions"}
2025-08-03T18:03:15.254432Z DEBUG matrix_sdk::http_client: Got response | crates/matrix-sdk/src/http_client/mod.rs:214 | spans: root > send{request_id="REQ-2" method=GET uri="https://matrix.aibots.kz/_matrix/client/versions" status=200 response_size="1.1k"}
2025-08-03T18:03:15.254474Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: root > send{request_id="REQ-3" method=GET uri="https://matrix.aibots.kz/.well-known/matrix/client"}
2025-08-03T18:03:15.267724Z DEBUG matrix_sdk::http_client: Got response | crates/matrix-sdk/src/http_client/mod.rs:214 | spans: root > send{request_id="REQ-3" method=GET uri="https://matrix.aibots.kz/.well-known/matrix/client" status=200 response_size="2.0k"}
2025-08-03T18:03:15.268351Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: root > send{request_id="REQ-4" method=GET uri="https://matrix.aibots.kz/_matrix/client/unstable/org.matrix.msc2965/auth_metadata"}
2025-08-03T18:03:15.284179Z DEBUG matrix_sdk::http_client: Error while sending request: Api(Server(ClientApi(Error { status_code: 404, body: Standard { kind: Unrecognized, message: "Unrecognized request" } }))) | crates/matrix-sdk/src/http_client/mod.rs:218 | spans: root > send{request_id="REQ-4" method=GET uri="https://matrix.aibots.kz/_matrix/client/unstable/org.matrix.msc2965/auth_metadata" status=404 response_size="59B"}
2025-08-03T18:03:15.284197Z ERROR matrix_sdk_ffi::client: Failed to fetch OIDC provider metadata: OAuth 2.0 is not supported by the homeserver | bindings/matrix-sdk-ffi/src/client.rs:337 | spans: root
2025-08-03T18:03:15.284220Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: root > send{request_id="REQ-5" method=GET uri="https://matrix.aibots.kz/_matrix/client/v3/login"}
2025-08-03T18:03:15.296262Z DEBUG matrix_sdk::http_client: Got response | crates/matrix-sdk/src/http_client/mod.rs:214 | spans: root > send{request_id="REQ-5" method=GET uri="https://matrix.aibots.kz/_matrix/client/v3/login" status=200 response_size="78B"}
2025-08-03T18:03:15.303047Z  INFO elementx: Sliding sync version: native | AuthenticationService.swift:59 | spans: root
2025-08-03T18:03:15.303086Z  INFO elementx: Supports OIDC login: false | AuthenticationService.swift:60 | spans: root
2025-08-03T18:03:15.303110Z  INFO elementx: Supports password login: true | AuthenticationService.swift:61 | spans: root
2025-08-03T18:03:15.303132Z  INFO elementx: Setting login mode to password | AuthenticationService.swift:67 | spans: root
2025-08-03T18:03:15.303154Z  INFO elementx: Storing client and sending homeserver update | AuthenticationService.swift:83 | spans: root
2025-08-03T18:03:15.303198Z  INFO elementx: Server configuration completed successfully for: matrix.aibots.kz | AuthenticationService.swift:87 | spans: root
2025-08-03T18:03:15.314517Z  INFO elementx: Server configuration successful | LoginScreenViewModel.swift:312 | spans: root
2025-08-03T18:03:15.314556Z  INFO elementx: Starting password authentication | LoginScreenViewModel.swift:272 | spans: root
2025-08-03T18:03:15.326929Z  INFO elementx: Starting login for username: testuser4, server: https://matrix.aibots.kz/ | AuthenticationService.swift:141 | spans: root
2025-08-03T18:03:15.326956Z  INFO elementx: Calling client.login with username: testuser4 | AuthenticationService.swift:144 | spans: root
2025-08-03T18:03:15.328713Z  INFO matrix_sdk::authentication::matrix::login_builder: Logging in homeserver="https://matrix.aibots.kz/" identifier=Some(UserIdOrLocalpart("testuser4")) | crates/matrix-sdk/src/authentication/matrix/login_builder.rs:177 | spans: root > login{method="identifier and password"}
2025-08-03T18:03:15.330627Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: root > login{method="identifier and password"} > send{request_id="REQ-6" method=POST uri="https://matrix.aibots.kz/_matrix/client/v3/login" request_size="150B"}
2025-08-03T18:03:15.717695Z DEBUG matrix_sdk::http_client: Got response | crates/matrix-sdk/src/http_client/mod.rs:214 | spans: root > login{method="identifier and password"} > send{request_id="REQ-6" method=POST uri="https://matrix.aibots.kz/_matrix/client/v3/login" request_size="150B" status=200 response_size="232B"}
2025-08-03T18:03:15.749769Z DEBUG matrix_sdk_crypto::machine: Created a new Olm account | crates/matrix-sdk-crypto/src/machine/mod.rs:350 | spans: root > login{method="identifier and password"} > with_store{user_id="@testuser4:matrix.aibots.kz" device_id="PGZXTNEIMN" ed25519_key=6LjsfFoxX87ecs2NL8uYxGIQdlj6iUQMV2R44wyv0vc curve25519_key=QBFavKZvGrIWn6kyzGl4ziQPd6Wu56f9xjFZbG4Imzc}
2025-08-03T18:03:15.749889Z DEBUG matrix_sdk_crypto::machine: Creating an empty cross signing identity stub | crates/matrix-sdk-crypto/src/machine/mod.rs:366 | spans: root > login{method="identifier and password"} > with_store{user_id="@testuser4:matrix.aibots.kz" device_id="PGZXTNEIMN" ed25519_key=6LjsfFoxX87ecs2NL8uYxGIQdlj6iUQMV2R44wyv0vc curve25519_key=QBFavKZvGrIWn6kyzGl4ziQPd6Wu56f9xjFZbG4Imzc}
2025-08-03T18:03:15.754248Z  INFO elementx: client.login completed successfully | AuthenticationService.swift:146 | spans: root
2025-08-03T18:03:15.755264Z  INFO elementx: Creating user session for client | AuthenticationService.swift:155 | spans: root
2025-08-03T18:03:15.755309Z  INFO elementx: Creating user session for client with homeserver: https://matrix.aibots.kz/ | AuthenticationService.swift:221 | spans: root
2025-08-03T18:03:15.765298Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: keys_query{request_id="6c5893c32b4d4bf7abc8bb3979d633f6"} > send{request_id="REQ-7" method=POST uri="https://matrix.aibots.kz/_matrix/client/v3/keys/query" request_size="50B"}
2025-08-03T18:03:15.766355Z  INFO elementx: Checking if backup exists on the server | SecureBackupController.swift:193 | spans: root
2025-08-03T18:03:15.767625Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: root > send{request_id="REQ-8" method=GET uri="https://matrix.aibots.kz/_matrix/client/v3/room_keys/version"}
2025-08-03T18:03:15.771470Z DEBUG matrix_sdk_crypto::machine: Initialising crypto store generation at 0 | crates/matrix-sdk-crypto/src/machine/mod.rs:2607 | spans: root
2025-08-03T18:03:15.776031Z  INFO elementx: AllRooms: Updating visible range: 0..<0 | RoomSummaryProvider.swift:145 | spans: root
2025-08-03T18:03:15.780247Z  INFO elementx: AlternateAllRooms: Updating visible range: 0..<0 | RoomSummaryProvider.swift:145 | spans: root
2025-08-03T18:03:15.780737Z  INFO elementx: StaticAllRooms: Updating visible range: 0..<0 | RoomSummaryProvider.swift:145 | spans: root
2025-08-03T18:03:15.783590Z  INFO elementx: Key backup state changed to: unknown, setting local state to unknown | SecureBackupController.swift:58 | spans: root
2025-08-03T18:03:15.783675Z  INFO elementx: Checking if backup exists on the server | SecureBackupController.swift:193 | spans: root
2025-08-03T18:03:15.783915Z  INFO elementx: Starting sync | ClientProxy.swift:361 | spans: root
2025-08-03T18:03:15.784127Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: root > send{request_id="REQ-9" method=GET uri="https://matrix.aibots.kz/_matrix/client/v3/room_keys/version"}
2025-08-03T18:03:15.785251Z  INFO elementx: Recovery state changed to: unknown, setting local state to unknown | SecureBackupController.swift:79 | spans: root
2025-08-03T18:03:15.789583Z  INFO elementx: AlternateAllRooms: Received state update: notLoaded | RoomSummaryProvider.swift:102 | spans: root
2025-08-03T18:03:15.789768Z  INFO elementx: AllRooms: Received state update: notLoaded | RoomSummaryProvider.swift:102 | spans: root
2025-08-03T18:03:15.790274Z  INFO matrix_sdk::sliding_sync: Marking all tracked users as dirty | crates/matrix-sdk/src/sliding_sync/mod.rs:438 | spans: root > next_sync_with_lock{store_generation=0} > sync_once{conn_id="encryption" }
2025-08-03T18:03:15.790758Z  INFO elementx: StaticAllRooms: Received state update: notLoaded | RoomSummaryProvider.swift:102 | spans: root
2025-08-03T18:03:15.791539Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: root > next_sync_with_lock{store_generation=0} > sync_once{conn_id="encryption" } > send{request_id="REQ-10" method=POST uri="https://matrix.aibots.kz/_matrix/client/unstable/org.matrix.simplified_msc3575/sync" request_size="136B"}
2025-08-03T18:03:15.792167Z DEBUG matrix_sdk::http_client::native: Sending request num_attempt=1 | crates/matrix-sdk/src/http_client/native.rs:78 | spans: sync_once{conn_id="room-list" } > send{request_id="REQ-11" method=POST uri="https://matrix.aibots.kz/_matrix/client/unstable/org.matrix.simplified_msc3575/sync" request_size="674B"}
